node	anchor	dist	error
1	9	8.246	0.105
1	9	8.649	0.509
1	9	8.185	0.044
1	9	8.203	0.063
1	9	8.443	0.302
1	9	8.264	0.124
1	9	8.466	0.326
1	9	8.419	0.279
1	9	8.649	0.509
1	9	8.311	0.171
1	20	11.477	-0.138
1	20	11.459	-0.157
1	20	11.463	-0.152
1	20	11.449	-0.166
1	20	11.449	-0.166
1	20	11.454	-0.161
1	20	11.477	-0.138
1	20	11.501	-0.114
1	20	11.473	-0.143
1	21	16.229	2.443
1	21	16.130	2.345
1	21	16.599	2.814
1	21	16.168	2.382
1	21	16.186	2.401
1	21	16.580	2.795
1	21	16.243	2.457
1	21	16.215	2.429
1	21	16.144	2.359
1	37	17.706	1.083
1	37	18.241	1.618
1	37	18.311	1.688
1	37	17.753	1.130
1	37	18.025	1.402
1	37	18.231	1.608
1	37	18.283	1.660
1	37	18.560	1.936
1	37	17.884	1.261
1	37	18.048	1.425
1	37	18.147	1.524
1	37	19.230	2.607
1	37	17.495	0.872
1	37	18.100	1.477
1	37	18.180	1.557
1	37	17.683	1.059
1	37	18.255	1.632
1	37	17.931	1.308
1	6	4.048	0.127
1	6	4.048	0.127
1	6	4.020	0.099
1	6	4.048	0.127
1	6	4.057	0.136
1	6	4.043	0.122
1	6	4.057	0.136
1	6	4.034	0.113
1	6	4.057	0.136
1	6	4.048	0.127
1	6	4.062	0.141
1	6	4.057	0.136
1	19	17.687	-0.134
1	19	17.650	-0.171
1	19	17.636	-0.185
1	19	17.673	-0.148
1	19	17.706	-0.115
1	19	17.669	-0.153
1	19	17.678	-0.143
1	19	17.687	-0.134
1	19	17.725	-0.096
1	19	17.673	-0.148
2	7	7.856	-0.021
2	7	7.884	0.007
2	7	7.838	-0.040
2	7	7.899	0.021
2	7	7.884	0.007
2	7	7.903	0.026
2	7	7.875	-0.002
2	7	7.908	0.030
2	7	7.875	-0.002
2	7	7.880	0.002
2	7	7.880	0.002
2	8	9.099	-0.106
2	8	9.081	-0.125
2	8	9.085	-0.121
2	8	9.085	-0.121
2	8	9.123	-0.083
2	8	9.099	-0.106
2	8	9.113	-0.092
2	16	14.277	1.080
2	16	14.099	0.902
2	16	14.282	1.084
2	16	14.911	1.713
2	16	14.512	1.314
2	16	14.338	1.141
2	16	14.845	1.647
2	23	12.697	-0.041
2	23	12.701	-0.037
2	23	12.701	-0.037
2	23	12.701	-0.037
2	23	12.701	-0.037
2	23	12.706	-0.032
2	24	15.356	-0.008
2	24	15.342	-0.022
2	24	15.337	-0.027
2	24	15.328	-0.036
2	24	15.328	-0.036
2	24	15.300	-0.064
2	25	13.269	-0.073
2	25	13.274	-0.069
2	25	13.321	-0.022
2	25	13.288	-0.055
2	25	13.288	-0.055
2	25	13.325	-0.017
2	25	13.292	-0.050
2	25	13.278	-0.064
2	25	13.283	-0.059
2	25	13.283	-0.059
2	29	12.204	-0.166
2	29	12.195	-0.175
2	29	12.209	-0.161
2	29	12.261	-0.110
2	29	12.223	-0.147
2	29	12.237	-0.133
2	29	12.256	-0.114
2	36	10.398	-0.045
2	36	10.422	-0.021
2	36	10.403	-0.040
2	36	10.408	-0.035
2	36	10.431	-0.012
2	36	10.413	-0.030
2	36	10.436	-0.007
2	36	10.403	-0.040
2	36	10.417	-0.026
2	36	10.384	-0.059
2	36	10.389	-0.054
2	36	10.417	-0.026
2	37	19.892	0.157
2	37	19.990	0.255
2	37	19.948	0.213
2	37	19.957	0.222
2	37	19.957	0.222
2	37	19.948	0.213
2	37	19.957	0.222
