node	x	y	z	addr
1	76.0	 3.97	2	139a
2	72.74	 6.6	2	1915
3	75.97	 6.86	2	110c
4	78.98	 6.85	2	128a
5	78.89	 0.44	2	11a3
6	75.89	 0.43	2	109b
7	72.91	 0.37	2	1833
8	65.73	 2.05	2	1089
9	57.79	 0.42	2	114a
10	51.93	 2.09	2	c80c
11	44.7	 0.49	2	1832
12	37.56	 2.06	2	1793
13	29.98	 0.49	2	02d8
14	22.85	 2.05	2	ca99
15	15.58	 0.43	2	1453
16	8.45	 1.99	2	5108
17	1.19	 0.44	2	1581
18	1.95	 8.35	2	1389
19	0.47	 16.79	2	1573
20	1.95	 24.55	2	1824
21	0.99	 32.15	2	18f7
22	10.57	 32.93	2	37cf
23	15.9	 31.29	2	ca2e
24	23.17	 32.91	2	9a33
25	30.32	 31.38	2	016d
26	37.57	 32.93	2	532e
27	44.72	 31.36	2	1ba5
28	51.86	 32.92	2	c203
29	59.12	 31.37	2	1572
30	66.93	 33.33	2	9419
31	73.47	 31.6	2	168a
32	78.93	 33.26	2	4e24
33	85.46	 31.67	2	c216
34	76.5	 28.61	2	19b0
35	72.75	 23.38	2	37dd
36	74.37	 16.13	2	1595
